id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category,difficulty_level,created_at
1441,Which AWS services or features can a company use to connect the network of its on-premises data center to AWS? (Select Two.),AWS VPN,AWS Directory Service,AWS Data Pipeline,AWS Direct Connect,,AE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:11.963197
1442,A retail company wants to provision only the necessary amount of resources to handle the current demand. Which cloud benefit is the company trying to achieve with this goal?,Reliability,Global reach,Scalability,High availability,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:12.367315
1443,Which databases are available on Amazon RDS? (Select Two.),Sybase,Microsoft SQL Server,IBM DB2,MongoDB,,BE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:12.775520
1444,Service control policies (SCPs) manage permissions for which of the following?,Availability Zones,AWS Regions,AWS Organizations,Edge locations,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:13.075604
1445,Which feature can be used to protect Amazon S3 buckets from accidental overwrites or deletes?,Lifecycle policy,Bucket versioning,Server-side encryption,Bucket ACL,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:13.381701
1446,"A company previously lost data that was stored in an on-premises data center. To protect against future against future loss of data, the company wants to use AWS to automatically launch thousands of its machines in a fully provisioned state in minutes, in an format that supports data restoration. Which AWS service should the company use to meet these requirements?",AWS Direct Connect,AWS Storage Gateway,CloudEndure Disaster Recovery,AWS Backup,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:13.688976
1447,"An external auditor has requested that a company provide a list of all its IAM users, including the status of users’ credentials and access keys. What is the SIMPLEST way to provide this information?","Create an IAM user account for the auditor, granting the auditor administrator permissions","take a screenshot of each user’s page in the AWS Management Console, then provide the screenshots to the auditor","Download the IAM credential report, then provide the report to the auditor","Download the AWS Trusted Advisor report, then provide the report to the auditor",,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:13.998178
1448,"A company is building an application that requires the ability to send, store, and receive messages between application components. The company has another requirement to process messages in first-in, first-out (FIFO) order. Which AWS service should the company use?",AWS step Functions,Amazon Simple Notification Service (Amazon SNS),Amazon Kinesis Data Streams,Amazon Simple Queue Service (Amazon SQS),,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:14.816061
1449,"A company needs a content delivery network that provides secure delivery of data, videos, applications, and APIs to users globally with low latency and high transfer speeds. Which AWS service meets these requirements?",Amazon CloudFront,Elastic Load Balancing,Amazon S3,Amazon Elastic Transcoder,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:15.124304
1450,"A company is expecting a short-term spike in internet traffic for its application. During the traffic increase, the application cannot be interrupted. The company also needs to minimize cost and maximize flexibility. Which Amazon EC2 instance type should the company use to meet these requirements?",On-Demand Instances,Spot Instances,Reserved Instances,Dedicated Hosts,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:15.429786
1451,"A company uses Amazon DynamoDB in its AWS cloud architecture. According to the AWS shared responsibility model, which of the following are responsibilities of the company? (Select Two.)",Operating system patching and upgrades,Application of appropriate permissions with IAM tools,Configuration of data encryption options,Creating of DynamoDB endpoints,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:15.740541
1452,A company wants to rightsize its infrastructure to control costs. At which points should the company rightsize? (Select Two.),Rightsize before a migration occurs to the cloud,Rightsize continuously after the cloud onboarding process,Rightsize when AWS support calls and explains that rightsizing is needed,Rightsize when seasonal workloads are at their peak,,AB,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:16.045002
1453,Which AWS service or feature allows a user to set up consolidated billing?,AWS Billing Management Console,AWS Organizations,AWS Cost and Usage Report,AWS Systems Manager,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:16.352480
1454,A company’s traffic logs show that IP addresses owned by AWS are being used in an attempt to flood ports on system resources. To whole should the cloud practitioner report this issue?,AWS Professional Services,AWS Abuse team,AWS Partner Network (APN),AWS technical account manager (TAM),,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:16.603331
1455,An IT department provisions more servers than are needed to run a workload. Which cloud architecture design principle supports changing this approach?,Protect data in transit and at rest,Stop guessing capacity,Improve through game days,Annotate documentation,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:16.978365
1456,"A company needs general architectural guidance about how to use AWS services for various use cases, workloads, and applications. What is the LEAST expensive AWS Support plan that provides this guidance?",AWS Business Support,AWS Developer Support,AWS Enterprise Support,AWS Basic Support,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:17.273158
1457,A user should contact the AWS Abuse team to report which situations? (Select Two.),A DDoS attack is being made on an AWS resource,A SQL injection attack is being made from an IP address that is not an AWS address,AWS resources are being used to host objectionable or illegal content,A company’s resources are being used in a way that is inconsistent with corporate policy,,CD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:17.580314
1458,"When an Amazon EC2 instance is terminated, which AWS service can identify the user that made the API call?",Amazon CloudWatch,AWS CloudTrail,AWS X-Ray,AWS Identity and Access Management (IAM),,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:17.854468
1459,A company is using multiple Availability Zones to deploy AWS Cloud architecture. Which design principle of the AWS Well-Architected Framework does this example represent?,Implement elasticity,Decouple architecture components,Design for high availability,Thing parallel,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:18.194316
1460,Which AWS Cloud benefit is shown by an architecture’s ability to withstand failures with minimal downtime?,Agility,Elasticity,Scalability,High availability,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:18.503164
1461,A company uses Amazon S3 buckets. One of the company’s dependents enabled S3 Cross-Region Replication for those buckets to meet new requirements. The company’s bill for that month was larger than usual. Which AWS service or feature can the company use to confirm that the cost increase was caused by the data replication?,Consolidated billing,Cost Explorer,AWS Pricing Calculator,AWS Trusted Advisor,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:18.809139
1462,A company wants to ensure that two Amazon EC2 instances are in separate data centers with minimal communication latency between the data centers. How can the company meet this requirement?,Place the EC2 instances in two separate AWS Regions connected with a VPC peering connection,Place the EC2 instances in two separate Availability Zones within the same AWS Region,Place one EC2 instance on premises and the other in an AWS Region. Then connect them by using an AWS VPN,Place both EC2 instances in a placement group for dedicated bandwidth,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:19.116700
1463,Which AWS services or features enable users to connect on-premises networks to a VPC? (Select Two.),AWS VPN,Elastic Load Balancing,AWS Direct Connect,VPC peering,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:19.423483
1464,A company is required to store its data close to its primary users. Which benefit of the AWS Cloud supports this requirement?,Security,High availability,Elasticity,Global footprint,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:19.731581
1465,"A company needs to migrate its on-premises data to the AWS Cloud. The company requires elastic, highly optimized connectivity. Which AWS service meets these requirements?",Amazon S3 Glacier,AWS Storage Gateway,AWS Backup,Amazon Elastic File System (Amazon EFS),,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:20.037802
1466,Elasticity in the AWS Cloud refers to which of the following? (Select Two.),How quickly an Amazon EC2 instance can be restarted,The ability to rightsize resources as demand shifts,The maximum amount of RAM an Amazon EC2 instance can use,The pay-as-you-go billing model,,BE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:20.345435
1467,"A company with AWS Enterprise Support has questions about its consolidated bill. Which AWS service, feature, or tool should the company use for assistance?",AWS Pricing Calculator,AWS Concierge Support,AWS Trusted Advisor,AWS Budgets,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:20.653679
1468,A company runs its business-critical web application on Amazon Elastic Container Service (Amazon ECS) and Amazon DynamoDB. The workload spikes up to 10 times the normal workload multiple times during the day. Which AWS Cloud feature enables the company to meet these changes in demand?,Agility,Global reach,Scalability,Security,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:20.959589
1469,Which guidelines are key AWS architectural design principles? (Select Two.),Design for fixed resources,Build scalable architectures,Use tightly coupled components,Use managed services when possible,,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:21.266995
1470,Using Amazon Elastic Container Service (Amazon ECS) to break down a monolithic architecture into microservices is an example of:,a loosely coupled architecture,a tightly coupled architecture,a stateless architecture,a stateful architecture,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:21.578106
1471,A media company uploads audio and video files to a centralized Amazon S3 bucket from locations that are geographically dispersed. Which AWS solution will optimize transfer speeds for these files?,AWS Global Accelerator,S3 Transfer Accelerator,AWS Direct Connect,Amazon CloudFront,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:21.881739
1472,A company wants to migrate to AWS and use the same security software it uses on premises. The security software vendor offers its security software as a service on AWS. Where can the company purchase the security solution?,AWS Partner Solutions Finder,AWS Support Center,AWS Management Console,AWS Marketplace,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:22.188062
1473,A company is removing its office and must establish an encrypted connection to AWS. Which AWS service will help meet this requirement?,AWS VPN,Amazon Route 53,Amazon API Gateway,Amazon Connect,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:22.495467
1474,Which AWS service or resource helps on-premises applications connect to AWS Cloud-based storage and caches the data locally for low-latency access?,AWS Direct Connect,AWS Storage Gateway,Amazon S3,AWS Snowball Edge,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:22.748615
1475,A company needs to improve the response rate of high-volume queries to its relational database. Which AWS service should the company use to offload requests to the database and improve overall response times?,Amazon DynamoDB Accelerator (DAX),Amazon ElastiCache,Elastic Load Balancing,AWS Global Accelerator,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:23.011250
1476,A company needs to perform a one-time migration of 40 TB of data from its on-premises storage servers to Amazon S3. The transfer must happen as quickly as possible while keeping costs to a minimum. The company has 100 Mbps internet connectivity. Which AWS service will meet these requirements?,AWS Snowball,AWS Direct Connect,AWS Storage Gateway,Amazon S3 Transfer Acceleration,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:23.315135
1477,A database administrator is trying to determine who deleted a critical Amazon Redshift cluster. Which AWS service helps with monitoring and retaining this type of account activity?,AWS CloudTrail,AWS Organizations,AWS Identity and Access Management (IAM),AWS Trusted Advisor,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:23.622799
1478,Which of the following are user authentication services managed by AWS? (Select Two.),Amazon Cognito,AWS Lambda,AWS License Manager,AWS identity and Access Management (IAM),,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:23.929225
1479,A company hosts a web application on Amazon EC2 instances. The application requires credentials so that it can access other AWS services. Which feature should the company use the provide this access?,IAM users,IAM groups,IAM roles,Multi-factor authentication (MFA),,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:24.236475
1480,Which tool or feature provides a report to forecast AWS billing costs for the next 3 months?,Consolidated billing,AWS Budgets,AWS Cost and Usage Report,Cost Explorer,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:24.544091
1481,Which pillar of the AWS Well-Architected Framework includes the AWS shared responsibility model?,Operational excellence,Performance efficiency,Reliability,Security,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:24.852636
1482,What does the AWS cloud provide to increase the speed and agility of execution for customers? (Select Two.),Readily available resources with low provisioning times,Scalable compute capacity,Free Tier Service usage,Access to AWS data centers,,AB,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:25.162130
1483,Which of the following are customer responsibilities under the AWS shared responsibility model? (Select Two.),Physical security of AWS facilities,Configuration of security groups,Encryption of customer data on AWS,Management of AWS Lambda infrastructure,,BC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:25.465567
1484,Which pillar of the AWS Well-Architected Framework specifies that resources be provisioned in a timely manner and scale as needed to maintain effectiveness as demand changes?,Cost optimization,Security,Operational excellence,Performance efficiency,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:25.772707
1485,"Which of the following is the responsibility of both AWS and the customer, according to the AWS shared responsibility model?",AWS awareness and training,Client-side data encryption,Physical and environmental controls of AWS data centers,Server-side data encryption,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:26.080126
1486,The AWS IAM best practice for granting least privilege is to:,apply an IAM policy to an IAM group and limit the size of the group,require multi-factor authentication (MFA) for all IAM users,require each IAM user who has different permissions to have multiple passwords,apply an IAM policy only to IAM users who require it,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:26.481999
1487,Which AWS service should a company use to provide its employees with access to the AWS Management Console?,AWS Identity and Access Management (IAM),Amazon Cognito,AWS Resource Access Manager,AWS Key Management Service (AWS KMS),,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:26.797957
1488,Which AWS service can be used to encrypt data at rest?,Amazon GuardDuty,AWS Shield,AWS Security Hub,AWS Key Management Service (AWS KMS),,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:27.104382
1489,Which services can be used to deploy applications on AWS? (Select Two.),AWS Elastic Beanstalk,AWS Config,AWS OpsWorks,AWS Application Discovery Service,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:27.412256
1490,Which AWS service or feature provides a platform for building cloud-based customer service contact centers?,Amazon Pinpoint,Amazon Connect,Amazon Athena,AWS Enterprise Support,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:27.708814
1491,Which AWS service is a highly available and scalable DNS web service?,Amazon VPC,Amazon CloudFront,Amazon Route 53,Amazon Connect,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:28.104009
1492,Which tool can be used to identify scheduled changes to the AWS infrastructure?,AWS Personal Health Dashboard,AWS Trusted Advisor,Billing Dashboard,AWS Config,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:28.435245
1493,A company needs a persistent cloud environment for development and testing for a project that will run for 3 months. Which Amazon EC2 instance purchasing option meets these requirements MOST cost-effectively?,Reserved Instances,Spot Instances,Dedicated Hosts,On-Demand Instances,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:28.743212
1494,Which AWS Support plan is recommended for business and mission-critical workloads in AWS environments?,AWS Business Support,AWS Enterprise Support,AWS Basic Support,AWS Developer Support,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:29.003259
1495,A large company is using the AWS Cloud for its business units. Each business until uses one VPC for each business application. The company is acquiring other companies that have their own VPCs that run new applications. The company needs to manage connectivity between its existing VPCs and the newly acquired VPCs. Which AWS service can the company use to meet this requirement?,AWS App Mesh,AWS Cloud Map,AWS Transit Gateway,AWS Site-to-Site VPN,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:29.255100
1496,Which AWS service is delivered regionally?,AWS Shield,Amazon S3,Amazon Route 53,AWS Identity and Access Management (IAM),,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:29.508619
1497,A company has a globally distributed user base. The company needs its application to be highly available and have low latency for end users. Which AWS architectural approach will MOST effectively support these requirements?,"Single-Region, Multi-AZ architecture","Multi-Region, active-active architecture","Multi-Region, active-passive architecture","Single-Region, Single-AZ architecture",,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:29.758064
1498,A company has performance and regulatory requirements that call for it to run its workload only in its on-premises data center. Which AWS services or resources should the company use? (Select Two.),Amazon Pinpoint,Amazon WorkLink,AWS Outposts,AWS Snowball Edge,,CD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:30.009976
1499,A user can increase operational efficiency in the AWS Cloud by.,leveraging AWS managed services,right-sizing AWS infrastructure,manually creating all necessary resources,managing their own software licenses,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:30.277641
1500,Which of the following are AWS Support plans that provide access to the full set of AWS Trusted Advisor checks? (Select Two.),AWS Enterprise Support,AWS Basic Support,AWS Business Support,AWS Developer Support,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:30.527575
1501,A company uses Amazon EC2 infrastructure to host steady-state workloads and needs to achieve significant cost savings. Which EC2 instance pricing model should the company select?,Reserved instances,On-Demand Instances,Spot Instances,Dedicated Hosts,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:30.789953
1502,A company has launched a product that requires private connectivity from an on-premises network to a VPC. Which AWS service or functionality should the company use?,AWS Direct Connect,VPC peering,NAT gateway,Internet gateway,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:31.097221
1503,A company has refined its workload to use specific AWS services to improve efficiency and reduce cost Which best practice for cost governance does this example show?,Resource controls,Cost allocation,Architecture optimization,Tagging enforcement,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:31.347258
1504,A company is running multiple workloads in the AWS Cloud and recently began investigating ways to reduce costs. The company is already running fault-tolerant workloads on Amazon EC2 that perform periodic checkpoints in case of an outage. Which AWS service or pricing model can provide the GREATEST cost savings?,Capacity Reservations,Amazon Lightsail,Spot Instances,Dedicated Hosts,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:31.600261
1505,A company is building an application that needs to deliver images and videos globally with minimal latency. Which approach can the company use to accomplish this in a cost effective manner?,Deliver the content through Amazon CloudFront,Store the content on Amazon S3 and enable S3 cross-region replication,Implement a VPN across multiple AWS Regions,Deliver the content through AWS PrivateLink,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:31.916520
1506,Which of the following is a way to use Amazon EC2 Auto Scaling groups to scale capacity in the AWS Cloud?,"Scale the number of EC2 instances in or out automatically, based on demand",Use serverless EC2 instances,"Scale the size of EC2 instances up or down automatically, based on demand",Transfer unused CPU resources between EC2 instances,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:32.181798
1507,Which of the following services has a primarily encryption-related purpose?,AWS Security Token Service (AWS STS),Amazon EMR,AWS Key Management Service (AWS KMS),Amazon Macie,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:32.433205
1508,Which of the following are advantages of using Amazon EC2 instances over traditional on-premses servers? (Select TWO.),Pay-as-you-go pricing,Automation,Self-maintenance of servers,Agility,,AE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:32.683776
1509,A company wants to migrate a small website and database quickly from on-premises infrastructure to the AWS Cloud. The company has limited operational knowledge to perform the migration. Which AWS service supports this use case?,Amazon EC2,Amazon Lightsail,Amazon S3,AWS Lambda,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:32.940872
1510,Which controls are shared under the AWS shared responsibility model? (Select TWO.),Awareness and training,Patching of Amazon RDS,Configuration management,Physical and environmental controls,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:33.247235
1511,A company needs to use SQL to query data from Amazon S3. Which AWS services or features can the company use to meet this requirement? (Select TWO.),AWS Data Exchange,Amazon Athena,S3 Select,S3 Transfer Acceleration,,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:33.554564
1512,Which AWS service should a cloud practitioner use to identify security vulnerabilities of an AWS account?,AWS Secrets Manager,Amazon Cognito,Amazon Macie,AWS Trusted Advisor,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:33.864472
1513,What is the LEAST expensive AWS Support plan that provides 24-hour access to AWS customer service and AWS communities?,AWS Enterprise Support,AWS Business Support,AWS Developer Support,AWS Basic Support,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:34.169932
1514,A company sells a device that uses automatic language recognition to respond to spoken questions The company wants to use deep learning and Natural language understanding to power this device. Which AWS service meets these requirements?,Amazon Transcribe,Amazon Comprehend,Amazon Lex,Amazon Polly,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:34.477684
1515,A company needs to run code in response to an event notification that occurs when objects are uploaded to an Amazon S3 bucket Which AWS service will integrate directly with the event notification?,AWS Lambda,Amazon EC2,Amazon Elastic Container Registry (Amazon ECR),AWS Elastic Beanstalk,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:34.785586
1516,Which cloud characteristics enable a company to provision or release computing capacity as required? (Select Two.),Scalability,Economies of scale,Elasticity,Agility,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:35.038895
1517,Which pillar of the AWS Well-Architected Framework refers to the ability of a system to recover from infrastructure or service disruptions and dynamically acquire computing resources to meet demand?,Security,Reliability,Performance efficiency,Cost optimization,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:35.298255
1518,Which AWS service enables users to create copies of resources across AWS Regions?,Amazon ElastiCache,AWS CloudFormation,AWS CloudTrail,AWS Systems Manager,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:35.706203
1519,A bank needs to store recordings of calls made to its contact center for 6 years. The recordings must be accessible within 48 hours from the time they are requested. Which AWS service will provide a secure and cost-effective solution for retaining these files?,Amazon DynamoDB,Amazon S3 Glacier,Amazon Connect,Amazon ElastiCache,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:35.958331
1520,Which of the following is an AWS best practice for managing an AWS account root user?,Keep the root user password with the security team,Enable multi-factor authentication (MFA) for the root user,Create an access key for the root user,Keep the root user password consistent for compliance purposes,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:36.211407
1521,A company has a compliance requirement to encrypt data in transit and at rest. The company is serving the content through Amazon EC2 instances behind an Elastic Load Balancer! and is storing data in Amazon Elastic Block Store (Amazon EBS) volumes. Which combination of AWS services should the company use to stay compliant with this requirement? (Select TWO.),Amazon GuardDuty,AWS Shield,AWS Certificate Manager (ACM),AWS Secrets Manager,,CE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:36.527736
1522,"A company needs to track the activity in its AWS accounts, and needs to know when an API call is made against its AWS resources Which AWS tool or service can be used to meet these requirements?",Amazon CloudWatch,Amazon Inspector,AWS CloudTrail,AWS IAM,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:36.834210
1523,Which of the following is a software development framework that a company can use to define cloud resources as code and provision the resources through AWS CloudFormation?,AWS CLI,AWS Developer Center,AWS Cloud Development Kit (AWS CDK),AWS CodeStar,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:37.141418
1524,A company uses Amazon EC2 instances and wants to maintain high availability in geographically distributed locations Which choice should the company make for the location of its EC2 instances?,Use a single Availability Zone in multiple edge locations,Use multiple Availability Zones in multiple AWS Regions,Use multiple Availability Zones in a single AWS Region,Use multiple Availability Zones in multiple edge locations,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:37.459650
1525,A company wants guidance to optimize the cost and performance of its current AWS environment. Which AWS service or tool should the company use to identify areas for optimization?,Amazon QuickSight,AWS Trusted Advisor,AWS Organizations,AWS Budgets,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:37.724498
1526,"Which AWS service or tool allows users to visualize, understand, and manage AWS costs and usage over time?",AWS Budgets,AWS Trusted Advisor,AWS CloudTrail,Cost Explorer,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:38.061473
1527,Under the AWS shared responsibility model which task is the customer's responsibility when managing AWS Lambda functions?,Creating versions of Lambda functions,Maintaining server and operating systems,Scaling Lambda resources according to demand,Updating the Lambda runtime environment,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:38.383100
1528,Which AWS service is a fully hosted version control service?,AWS CodeCommit,AWS CodeBuild,AWS CodeDeploy,AWS CodeStar,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:38.675621
1529,Which IPv4 internet address for Amazon EC2 instances is billed at an hourly rate?,A dynamic IP address that is requested in excess of the Regional limit for each account,An Elastic IP address that is associated with an EC2 instance that is running,An Elastic IP address that is not associated with an EC2 instance that is running,A bring your own IP address (BYOIP) that is assigned to an EC2 instance that is running,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:38.928398
1530,Which activity is considered out of scope for AWS Support?,Solving problems detected by Amazon EC2 health checks,"Answering ""how to"" questions on AWS services and features",Troubleshooting AWS APIs,Tuning database queries,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:39.289653
1531,What are the benefits of consolidated billing for AWS Cloud services? (Select TWO.),Volume discounts,A minimal additional fee for use,One bill for multiple accounts,Installment payment options,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:39.549969
1532,A company has decided to migrate its production workloads to the AWS Cloud. Which actions can help reduce operational costs as part of the migration? (Select TWO.),Reduce overprovisioned instances,Rehost all third-party licenses on AWS,Implement a highly available architecture,Use managed services,,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:39.904008
1533,Which tool can be used to create alerts when the actual or forecasted cost of AWS services exceeds a certain threshold?,Cost Explorer,AWS Budgets,AWS Cost and Usage Report,AWS CloudTrail,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:40.213997
1534,A company spends several months upgrading its on-premises infrastructure every few years The company wants to reduce infrastructure procurement time by migrating to the AWS Cloud. What is the main benefit of migrating to the AWS Cloud for this use case?,AWS will help move the existing hardware to the AWS data centers,The company will have increased agility with on-demand access to IT resources,Enterprise support will be available to help with recurring application installation and setup,The company will experience less downtime with Multi-AZ deployments,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:40.518603
1535,"Which Amazon EC2 pricing model provides the MOST cost savings for an always-up, right-sized database server running for a project that will last 1 year?",On-Demand Instances,Convertible Reserved Instances,Spot Instances,Standard Reserved Instances,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:40.826286
1536,A company wants to use an AWS service to continuously monitor the health of its application endpoints based on proximity to application users. The company also needs to route traffic to healthy Regional endpoints and to improve application availability and performance. Which service will meet these requirements?,Amazon Inspector,Amazon CloudWatch,AWS Global Accelerator,AWS CloudFormation,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:41.132924
1537,A company recently migrated data from on premises to Amazon Aurora. How does the AWS shared responsibility model apply to this use case?,AWS is responsible for the physical infrastructure on which the company's data resides. The company is responsible for everything else.,"AWS is responsible for installing the database application, updating the operating system, and performing maintenance",The company is responsible for updating the operating system and performing software maintenance,The company is responsible for the security of the hardware on which the database resides,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:41.440051
1538,Which AWS Trusted Advisor category contains information about high AWS service usage that could restrict the deployment of additional AWS resources?,Security,Fault tolerance,Performance,Service quotas,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:41.748763
1539,Which AWS service or tool should a company use to centrally request and track service limit increases?,AWS Config,Service Quotas,AWS Service Catalog,AWS Budgets,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:42.007524
1540,Which AWS service offers the LEAST expensive means of storing static images?,Amazon S3,Amazon DynamoDB,AWS Snowball,Amazon Elastic Block Store (Amazon EBS),,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:42.668767
1541,Which guideline is a well-architected design principle for building cloud applications?,Keep static data closer to compute resources,Provision resources for peak capacity,Design for automated recovery from failure,Use tightly coupled components,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:43.282892
1542,"A developer is writing a new application that consists of multiple AWS microservices During quality assurance testing, the developer notices runtime errors in several areas of the application. Which AWS service should the developer use to help troubleshoot the errors?",AWS CloudTrail,AWS X-Ray,Amazon CloudWatch,Amazon Cognito,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:43.590429
1543,What are characteristics of AWS IAM users and groups? (Select TWO.),Groups can be nested and can contain other groups,A user can be a member of multiple groups,Groups can contain users only and cannot be nested,A user can only be a member of a single group at one time,,BC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:43.998013
